2026-02-06 17:44:24,256 | INFO     | __main__ | Log file: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Centum-OnePager\run_20260206_174424.log
2026-02-06 17:45:34,010 | INFO     | extractors.public_data | Found 3 trend sources
2026-02-06 17:45:35,172 | INFO     | extractors.public_data | Found 2 competitive sources
2026-02-06 17:45:37,246 | INFO     | extractors.public_data | Found 2 news sources
2026-02-06 17:45:37,249 | INFO     | extractors.public_data | Total public sources collected: 10
2026-02-06 17:45:37,249 | INFO     | extractors.public_data | [OK] [1/7] Public Data Scraping - DONE
2026-02-06 17:45:37,250 | INFO     | generators.citations | [>] [4/7] Citations Document - START
2026-02-06 17:45:37,470 | INFO     | generators.citations | [OK] [4/7] Citations Document - DONE
2026-02-06 17:45:37,471 | INFO     | generators.citations |  Citations saved: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Centum-OnePager\Project_Stellar_citations.docx
2026-02-06 17:45:37,472 | INFO     | assets.image_compliance | ImageComplianceChecker initialized
2026-02-06 17:45:37,473 | INFO     | assets.image_sourcing | ImageSourcing initialized
2026-02-06 17:45:37,474 | INFO     | assets.image_sourcing | [>] [5/7] Image Sourcing - START
2026-02-06 17:45:37,475 | INFO     | assets.image_sourcing | Calling LLM for intelligent image query generation...
2026-02-06 17:45:58,700 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 829 | Out: 63 | Total: 892 tokens
2026-02-06 17:45:58,702 | INFO     | assets.image_sourcing | [OK] Generated 5 sector-specific image queries
2026-02-06 17:45:58,703 | INFO     | assets.image_sourcing | Sourcing 5 images with queries: ['precision CNC machining aerospace metal components', 'modern industrial forging press manufacturing facility', 'aluminum die casting machine industrial production', 'robotic welding assembly line manufacturing plant', 'quality control inspection dimensional measurement laboratory']
2026-02-06 17:45:58,704 | INFO     | assets.image_sourcing | Searching for: 'precision CNC machining aerospace metal components'
2026-02-06 17:45:59,482 | INFO     | assets.image_sourcing |  Downloaded from Unsplash: unsplash_1.jpg
2026-02-06 17:45:59,585 | INFO     | assets.image_compliance |  Image compliant: unsplash_1.jpg
2026-02-06 17:45:59,588 | INFO     | assets.image_sourcing | Searching for: 'modern industrial forging press manufacturing facility'
2026-02-06 17:46:00,243 | INFO     | assets.image_sourcing |  Downloaded from Unsplash: unsplash_2.jpg
2026-02-06 17:46:00,319 | INFO     | assets.image_compliance |  Image compliant: unsplash_2.jpg
2026-02-06 17:46:00,323 | INFO     | assets.image_sourcing | Searching for: 'aluminum die casting machine industrial production'
2026-02-06 17:46:00,955 | INFO     | assets.image_sourcing |  Downloaded from Unsplash: unsplash_3.jpg
2026-02-06 17:46:01,044 | INFO     | assets.image_compliance |  Image compliant: unsplash_3.jpg
2026-02-06 17:46:01,048 | INFO     | assets.image_sourcing | Searching for: 'robotic welding assembly line manufacturing plant'
2026-02-06 17:46:03,362 | INFO     | assets.image_sourcing |  Downloaded from Unsplash: unsplash_4.jpg
2026-02-06 17:46:03,432 | INFO     | assets.image_compliance |  Image compliant: unsplash_4.jpg
2026-02-06 17:46:03,436 | INFO     | assets.image_sourcing | Searching for: 'quality control inspection dimensional measurement laboratory'
2026-02-06 17:46:03,957 | WARNING  | assets.image_sourcing | Unsplash sourcing failed: 404 Client Error: Not Found for url: https://api.unsplash.com/photos/random?query=quality+control+inspection+dimensional+measurement+laboratory&client_id=xqzU8__1TDnNX5F-ZU2dhcqc3kcF2fRzl2VEBUHmPg0&orientation=landscape
2026-02-06 17:46:06,465 | INFO     | assets.image_sourcing |  Downloaded from DuckDuckGo: ddg_5.jpg
2026-02-06 17:46:06,487 | WARNING  | assets.image_compliance |  Low resolution image: 448x336
2026-02-06 17:46:06,541 | WARNING  | assets.image_compliance |  Image has issues: Low resolution: 448x336; Contains EXIF metadata (9 fields)
2026-02-06 17:46:06,543 | INFO     | assets.image_sourcing | [OK] [5/7] Image Sourcing - DONE
2026-02-06 17:46:06,543 | INFO     | assets.image_sourcing |  Sourced 5 images
2026-02-06 17:46:06,543 | INFO     | assemblers.slide_builder | [>] [6/7] PPT Assembly - START
2026-02-06 17:46:06,544 | INFO     | assemblers.slide_builder | Building Slide 1: Cover
2026-02-06 17:46:06,555 | INFO     | assemblers.slide_builder | Building Slide 2: Business Profile
2026-02-06 17:46:06,561 | INFO     | assemblers.slide_builder | Building dense 3-column Business Profile layout
2026-02-06 17:46:06,675 | INFO     | assemblers.slide_builder | Building Slide 3: Financials
2026-02-06 17:46:06,728 | INFO     | assemblers.native_charts | Added native COLUMN_CLUSTERED chart
2026-02-06 17:46:06,743 | INFO     | assemblers.native_charts | Added native LINE chart
2026-02-06 17:46:06,743 | INFO     | assemblers.slide_builder | Building Slide 4: Investment Highlights
2026-02-06 17:46:06,756 | INFO     | assemblers.slide_builder | Building Premium Highlights Layout
2026-02-06 17:46:06,841 | INFO     | assemblers.slide_builder | Added feature image to highlights slide
2026-02-06 17:46:06,898 | INFO     | assemblers.slide_builder | Building Slide 5: Disclaimer
2026-02-06 17:46:06,977 | INFO     | assemblers.ppt_template |  Presentation saved: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Centum-OnePager\Project_Stellar_Investment_Teaser.pptx
2026-02-06 17:46:06,978 | INFO     | assemblers.slide_builder | [OK] [6/7] PPT Assembly - DONE
2026-02-06 17:46:06,980 | INFO     | assemblers.slide_builder | Presentation created: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Centum-OnePager\Project_Stellar_Investment_Teaser.pptx (5 slides)
2026-02-06 17:46:06,983 | INFO     | validators.compliance | [>] [7/7] Compliance Validation - START
2026-02-06 17:46:07,066 | INFO     | validators.compliance | Compliance: Native Charts - PASS 
2026-02-06 17:46:07,083 | INFO     | validators.compliance | Compliance: Anonymization - PASS 
2026-02-06 17:46:07,084 | INFO     | validators.compliance | Compliance: Manufacturing Metrics - PASS 
2026-02-06 17:46:07,085 | INFO     | validators.compliance | Compliance: Citations - PASS 
2026-02-06 17:46:07,088 | INFO     | validators.compliance | Compliance: Slide Count - PASS (5 slides)
2026-02-06 17:46:07,091 | INFO     | validators.compliance | Compliance: Branding - PASS 
2026-02-06 17:46:07,091 | INFO     | validators.compliance | [OK] [7/7] Compliance Validation - DONE
2026-02-06 17:46:07,092 | INFO     | validators.compliance | Compliance Score: 100.0%
2026-02-06 17:46:07,092 | INFO     | validators.compliance |  PASSED
2026-02-06 17:46:07,093 | INFO     | __main__ | Skipping visual review (Renderer or API key missing)
2026-02-06 17:46:07,093 | INFO     | __main__ | 

2026-02-06 17:46:07,093 | INFO     | __main__ | GENERATION COMPLETE
2026-02-06 17:46:07,094 | INFO     | __main__ | Presentation: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Centum-OnePager\Project_Stellar_Investment_Teaser.pptx
2026-02-06 17:46:07,094 | INFO     | __main__ | Citations: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Centum-OnePager\Project_Stellar_citations.docx
2026-02-06 17:46:07,094 | INFO     | __main__ | Images sourced: 5
2026-02-06 17:46:07,094 | INFO     | __main__ | API calls: 5
2026-02-06 17:46:07,095 | INFO     | __main__ | Total tokens: 37,860 (In: 35,866, Out: 1,994)
2026-02-06 17:46:07,095 | INFO     | __main__ | Execution time: 102.8s (1.7m)
2026-02-06 17:46:07,095 | INFO     | __main__ | Compliance: 100.0%
2026-02-06 17:46:07,095 | INFO     | __main__ | Status: PASSED
2026-02-06 17:46:07,096 | INFO     | __main__ | 
