2026-02-06 15:34:36,369 | INFO     | __main__ | Log file: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Ind Swift-OnePager\run_20260206_153436.log
2026-02-06 15:36:20,134 | INFO     | assets.image_compliance |  Image compliant: unsplash_4.jpg
2026-02-06 15:36:20,138 | INFO     | assets.image_sourcing | Searching for: 'automated pharmaceutical blister packaging production line'
2026-02-06 15:36:20,789 | INFO     | assets.image_sourcing |  Downloaded from Unsplash: unsplash_5.jpg
2026-02-06 15:36:20,936 | INFO     | assets.image_compliance |  Image compliant: unsplash_5.jpg
2026-02-06 15:36:20,942 | INFO     | assets.image_sourcing | [OK] [5/7] Image Sourcing - DONE
2026-02-06 15:36:20,943 | INFO     | assets.image_sourcing |  Sourced 5 images
2026-02-06 15:36:20,944 | INFO     | assemblers.slide_builder | [>] [6/7] PPT Assembly - START
2026-02-06 15:36:20,946 | INFO     | assemblers.slide_builder | Building Slide 1: Cover
2026-02-06 15:36:20,976 | INFO     | assemblers.slide_builder | Building Slide 2: Business Profile
2026-02-06 15:36:20,995 | INFO     | assemblers.slide_builder | Building dense 3-column Business Profile layout
2026-02-06 15:36:21,101 | INFO     | assemblers.slide_builder | Building Slide 3: Financials
2026-02-06 15:36:21,147 | INFO     | assemblers.native_charts | Added native COLUMN_CLUSTERED chart
2026-02-06 15:36:21,156 | INFO     | assemblers.native_charts | Added native LINE chart
2026-02-06 15:36:21,172 | INFO     | assemblers.slide_builder | Building Slide 4: Investment Highlights
2026-02-06 15:36:21,181 | INFO     | assemblers.slide_builder | Building Premium Highlights Layout
2026-02-06 15:36:21,205 | INFO     | assemblers.slide_builder | Added feature image to highlights slide
2026-02-06 15:36:21,258 | INFO     | assemblers.slide_builder | Building Slide 5: Disclaimer
2026-02-06 15:36:21,360 | INFO     | assemblers.ppt_template |  Presentation saved: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Ind Swift-OnePager\Project_Elixir_Investment_Teaser.pptx
2026-02-06 15:36:21,361 | INFO     | assemblers.slide_builder | [OK] [6/7] PPT Assembly - DONE
2026-02-06 15:36:21,362 | INFO     | assemblers.slide_builder | Presentation created: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Ind Swift-OnePager\Project_Elixir_Investment_Teaser.pptx (5 slides)
2026-02-06 15:36:21,362 | INFO     | validators.compliance | [>] [7/7] Compliance Validation - START
2026-02-06 15:36:21,439 | INFO     | validators.compliance | Compliance: Native Charts - PASS 
2026-02-06 15:36:21,466 | INFO     | validators.compliance | Compliance: Anonymization - PASS 
2026-02-06 15:36:21,466 | INFO     | validators.compliance | Compliance: Pharma Metrics - PASS 
2026-02-06 15:36:21,467 | INFO     | validators.compliance | Compliance: Citations - PASS 
2026-02-06 15:36:21,468 | INFO     | validators.compliance | Compliance: Slide Count - PASS (5 slides)
2026-02-06 15:36:21,470 | INFO     | validators.compliance | Compliance: Branding - PASS 
2026-02-06 15:36:21,472 | INFO     | validators.compliance | [OK] [7/7] Compliance Validation - DONE
2026-02-06 15:36:21,472 | INFO     | validators.compliance | Compliance Score: 100.0%
2026-02-06 15:36:21,474 | INFO     | validators.compliance |  PASSED
2026-02-06 15:36:21,476 | INFO     | __main__ | Skipping visual review (Renderer or API key missing)
2026-02-06 15:36:21,477 | INFO     | __main__ | 

2026-02-06 15:36:21,478 | INFO     | __main__ | GENERATION COMPLETE
2026-02-06 15:36:21,480 | INFO     | __main__ | Presentation: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Ind Swift-OnePager\Project_Elixir_Investment_Teaser.pptx
2026-02-06 15:36:21,480 | INFO     | __main__ | Citations: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Ind Swift-OnePager\Project_Elixir_citations.docx
2026-02-06 15:36:21,481 | INFO     | __main__ | Images sourced: 5
2026-02-06 15:36:21,481 | INFO     | __main__ | API calls: 5
2026-02-06 15:36:21,483 | INFO     | __main__ | Total tokens: 42,689 (In: 41,240, Out: 1,449)
2026-02-06 15:36:21,483 | INFO     | __main__ | Execution time: 105.1s (1.8m)
2026-02-06 15:36:21,484 | INFO     | __main__ | Compliance: 100.0%
2026-02-06 15:36:21,484 | INFO     | __main__ | Status: PASSED
2026-02-06 15:36:21,484 | INFO     | __main__ | 
