2026-02-06 18:54:08,357 | INFO     | __main__ | Log file: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Gati-OnePager\run_20260206_185408.log
2026-02-06 18:57:19,310 | INFO     | assemblers.ppt_template |  Presentation saved: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Gati-OnePager\Project_Swift_Investment_Teaser.pptx
2026-02-06 18:57:19,311 | INFO     | assemblers.slide_builder | [OK] [6/7] PPT Assembly - DONE
2026-02-06 18:57:19,311 | INFO     | assemblers.slide_builder | Presentation created: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Gati-OnePager\Project_Swift_Investment_Teaser.pptx (5 slides)
2026-02-06 18:57:19,311 | INFO     | validators.compliance | [>] [7/7] Compliance Validation - START
2026-02-06 18:57:19,369 | INFO     | validators.compliance | Compliance: Native Charts - PASS 
2026-02-06 18:57:19,386 | INFO     | validators.compliance | Compliance: Anonymization - PASS 
2026-02-06 18:57:19,388 | INFO     | validators.compliance | Compliance: Logistics Metrics - FAIL 
2026-02-06 18:57:19,388 | WARNING  | validators.compliance | Missing Logistics-specific KPIs: utilization, hub_count, ton_km, fleet_size
2026-02-06 18:57:19,389 | INFO     | validators.compliance | Compliance: Citations - PASS 
2026-02-06 18:57:19,389 | INFO     | validators.compliance | Compliance: Slide Count - PASS (5 slides)
2026-02-06 18:57:19,392 | INFO     | validators.compliance | Compliance: Branding - PASS 
2026-02-06 18:57:19,393 | INFO     | validators.compliance | [OK] [7/7] Compliance Validation - DONE
2026-02-06 18:57:19,393 | INFO     | validators.compliance | Compliance Score: 83.3%
2026-02-06 18:57:19,393 | INFO     | validators.compliance |  PASSED
2026-02-06 18:57:19,394 | INFO     | __main__ | Skipping visual review (Renderer or API key missing)
2026-02-06 18:57:19,395 | INFO     | __main__ | 

2026-02-06 18:57:19,395 | INFO     | __main__ | GENERATION COMPLETE
2026-02-06 18:57:19,396 | INFO     | __main__ | Presentation: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Gati-OnePager\Project_Swift_Investment_Teaser.pptx
2026-02-06 18:57:19,396 | INFO     | __main__ | Citations: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Gati-OnePager\Project_Swift_citations.docx
2026-02-06 18:57:19,396 | INFO     | __main__ | Images sourced: 5
2026-02-06 18:57:19,397 | INFO     | __main__ | API calls: 5
2026-02-06 18:57:19,397 | INFO     | __main__ | Total tokens: 34,517 (In: 32,705, Out: 1,812)
2026-02-06 18:57:19,398 | INFO     | __main__ | Execution time: 191.0s (3.2m)
2026-02-06 18:57:19,398 | INFO     | __main__ | Compliance: 83.3%
2026-02-06 18:57:19,399 | INFO     | __main__ | Status: PASSED
2026-02-06 18:57:19,399 | INFO     | __main__ | 
